KRAS 2	2502	63	462	115.329014	45.622550 0	525	63	462	72.708423	18.304512	18.304512
BRAF 6	2498	21	504	15.552475	11.219360 0	525	21	504	22.914851	5.331215	5.331215
TP53 10	2494	33	492	15.642633	17.059324 5	520	33	492	5.988506	5.241520	5.241520
FAM47C 0	2504	25	500	130.000000	18.631780 4	521	25	500	5.417964	3.807057	3.807057
RBM7 8	2496	16	509	9.248148	7.199220 1	524	16	509	8.750000	3.182181	3.182181
LAIR2 0	2504	16	509	83.500000	11.835101 1	524	16	509	8.750000	3.182181	3.182181
INSL5 1	2503	17	508	44.275049	11.659272 2	523	17	508	6.176817	2.871988	2.871988
SAMHD1 3	2501	18	507	23.394685	10.915093 3	522	18	507	4.890256	2.630573	2.630573
LIPK 27	2477	18	507	3.310039	3.829857 3	522	18	507	4.890256	2.630573	2.630573
GPR63 40	2464	19	506	2.371675	2.508388 4	521	19	506	4.118343	2.435470	2.435470
IGLON5 23	2481	12	513	2.615597	2.108463 0	525	12	513	13.303502	2.765150	2.108463
ARHGAP33 62	2442	25	500	2.012420	2.199637 9	516	25	500	2.683034	1.999951	1.999951
SKAP1 15	2489	11	514	3.626214	2.863406 1	524	11	514	6.116505	1.907428	1.907428
MPPED2 10	2494	11	514	5.285084	3.849018 1	524	11	514	6.116505	1.907428	1.907428
SEMA3G 65	2439	33	492	2.549634	4.394824 15	510	33	492	2.202586	1.885051	1.885051
PIK3CA 11	2493	21	504	9.054125	9.053080 7	518	21	504	2.826238	1.833446	1.833446
PCDHA8 45	2459	24	501	2.663260	3.464312 9	516	24	501	2.574701	1.825676	1.825676
BUB1B 31	2473	16	509	2.577083	2.466845 4	521	16	509	3.480000	1.801299	1.801299
USHBP1 52	2452	25	500	2.401913	3.138236 10	515	25	500	2.434404	1.745444	1.745444
CCNO 27	2477	14	511	2.592773	2.169234 3	522	14	511	3.830566	1.740650	1.740650
FLG 44	2460	125	400	17.184040	62.959140 93	432	125	400	1.447392	1.728961	1.728961
TESPA1 44	2460	26	499	2.953200	4.339955 11	514	26	499	2.317500	1.673638	1.673638
KCNA4 13	2491	13	512	4.857700	4.145486 3	522	13	512	3.568226	1.530211	1.530211
HNF4A 22	2482	13	512	2.946182	2.498778 3	522	13	512	3.568226	1.530211	1.530211
QTRT1 23	2481	25	500	5.366933	7.725808 11	514	25	500	2.227212	1.516593	1.516593
NME6 15	2489	41	484	13.476804	19.825117 24	501	41	484	1.738887	1.369809	1.369809
TRANK1 82	2422	37	488	2.268559	3.935338 21	504	37	488	1.783789	1.343570	1.343570
PSD2 49	2455	21	504	2.139881	2.182419 9	516	21	504	2.252277	1.330905	1.330905
L1TD1 1	2503	15	510	39.201566	10.209763 5	520	15	510	2.718852	1.300527	1.300527
PTPRZ1 109	2395	33	492	1.502194	1.263699 17	508	33	492	1.950192	1.495133	1.263699
XKR7 18	2486	10	515	2.790392	1.917337 2	523	10	515	3.723514	1.253731	1.253731
TGIF2LX 0	2504	10	515	53.401163	7.393167 2	523	10	515	3.723514	1.253731	1.253731
ISLR 53	2451	18	507	1.698309	1.227158 6	519	18	507	2.778403	1.568052	1.227158
SIPA1L1 100	2404	41	484	2.062060	3.581229 25	500	41	484	1.668676	1.226854	1.226854
ZNF346 6	2498	36	489	26.957143	21.532728 21	504	36	489	1.733302	1.222968	1.222968
RASSF2 23	2481	13	512	2.822287	2.417970 4	521	13	512	2.849123	1.213135	1.213135
ARL13B 21	2483	37	488	8.774122	14.883056 22	503	37	488	1.702854	1.193851	1.193851
PCDHGA8 80	2424	25	500	1.553683	1.169312 12	513	25	500	2.051896	1.310607	1.169312
TLK2 12	2492	6	519	2.581509	1.176843 0	525	6	519	7.080769	1.159422	1.159422
SAFB 25	2479	10	515	2.033393	1.117731 2	523	10	515	3.723514	1.253731	1.117731
OR6A2 51	2453	18	507	1.765067	1.401402 8	517	18	507	2.152668	1.081012	1.081012
MMP17 53	2451	18	507	1.698309	1.227158 8	517	18	507	2.152668	1.081012	1.081012
PTPN14 88	2416	70	455	4.228440	15.679851 51	474	70	455	1.422276	1.076440	1.076440
TRIML1 14	2490	6	519	2.235513	1.060112 0	525	6	519	7.080769	1.159422	1.060112
USP26 3	2501	27	498	35.098196	17.292302 15	510	27	498	1.792084	1.049607	1.049607
THEMIS 52	2452	27	498	2.597043	3.835558 15	510	27	498	1.792084	1.049607	1.049607
NYNRIN 39	2465	27	498	3.459319	5.584554 15	510	27	498	1.792084	1.049607	1.049607
GNB1 1	2503	45	480	119.733888	32.789169 30	495	45	480	1.530146	1.013453	1.013453
OVCH1 39	2465	24	501	3.070219	4.392615 13	512	24	501	1.824843	0.993116	0.993116
SLC22A7 19	2485	16	509	4.143333	4.319067 7	518	16	509	2.162500	0.984709	0.984709
RBM44 29	2475	16	509	2.751111	2.796146 7	518	16	509	2.162500	0.984709	0.984709
PROK1 5	2499	16	509	13.888889	8.463755 7	518	16	509	2.162500	0.984709	0.984709
KLHDC4 73	2431	55	470	3.907500	11.704765 39	486	55	470	1.447558	0.966909	0.966909
DNAAF5 76	2428	55	470	3.750627	11.210180 39	486	55	470	1.447558	0.966909	0.966909
